,date,date_lab,who_region,who_region_long,country,iso3,cases,confirmed_cases,severe_cases,deaths,cfr,prop_sev,cfr_ci_lower,cfr_ci_upper,prop_sev_ci_lower,prop_sev_ci_upper
0,2010-01-01,Jan 2010,SEAR,South-East Asia Region,Thailand,THA,1496.0,,,,,,,,,
1,2010-02-01,Feb 2010,SEAR,South-East Asia Region,Thailand,THA,1528.0,,,,,,,,,
2,2010-03-01,Mar 2010,SEAR,South-East Asia Region,Thailand,THA,2020.0,,,,,,,,,
3,2010-04-01,Apr 2010,SEAR,South-East Asia Region,Thailand,THA,1868.0,,,,,,,,,
4,2010-05-01,May 2010,SEAR,South-East Asia Region,Thailand,THA,3666.0,,,,,,,,,
5,2010-06-01,Jun 2010,SEAR,South-East Asia Region,Thailand,THA,6631.0,,,,,,,,,
6,2010-07-01,Jul 2010,SEAR,South-East Asia Region,Thailand,THA,10037.0,,,,,,,,,
7,2010-08-01,Aug 2010,SEAR,South-East Asia Region,Thailand,THA,11299.0,,,,,,,,,
8,2010-09-01,Sep 2010,SEAR,South-East Asia Region,Thailand,THA,7463.0,,,,,,,,,
9,2010-10-01,Oct 2010,SEAR,South-East Asia Region,Thailand,THA,3630.0,,,,,,,,,
10,2010-11-01,Nov 2010,SEAR,South-East Asia Region,Thailand,THA,2229.0,,,,,,,,,
11,2010-12-01,Dec 2010,SEAR,South-East Asia Region,Thailand,THA,1282.0,,,,,,,,,
12,2011-01-01,Jan 2011,SEAR,South-East Asia Region,Thailand,THA,1125.0,,,,,,,,,
13,2011-02-01,Feb 2011,SEAR,South-East Asia Region,Thailand,THA,956.0,,,,,,,,,
14,2011-03-01,Mar 2011,SEAR,South-East Asia Region,Thailand,THA,973.0,,,,,,,,,
15,2011-04-01,Apr 2011,SEAR,South-East Asia Region,Thailand,THA,1315.0,,,,,,,,,
16,2011-05-01,May 2011,SEAR,South-East Asia Region,Thailand,THA,3501.0,,,,,,,,,
17,2011-06-01,Jun 2011,SEAR,South-East Asia Region,Thailand,THA,5337.0,,,,,,,,,
18,2011-07-01,Jul 2011,SEAR,South-East Asia Region,Thailand,THA,5203.0,,,,,,,,,
19,2011-08-01,Aug 2011,SEAR,South-East Asia Region,Thailand,THA,4352.0,,,,,,,,,
20,2011-09-01,Sep 2011,SEAR,South-East Asia Region,Thailand,THA,2741.0,,,,,,,,,
21,2011-10-01,Oct 2011,SEAR,South-East Asia Region,Thailand,THA,1696.0,,,,,,,,,
22,2011-11-01,Nov 2011,SEAR,South-East Asia Region,Thailand,THA,1615.0,,,,,,,,,
23,2011-12-01,Dec 2011,SEAR,South-East Asia Region,Thailand,THA,945.0,,,,,,,,,
24,2012-01-01,Jan 2012,SEAR,South-East Asia Region,Thailand,THA,857.0,,,,,,,,,
25,2012-02-01,Feb 2012,SEAR,South-East Asia Region,Thailand,THA,938.0,,,,,,,,,
26,2012-03-01,Mar 2012,SEAR,South-East Asia Region,Thailand,THA,1106.0,,,,,,,,,
27,2012-04-01,Apr 2012,SEAR,South-East Asia Region,Thailand,THA,1338.0,,,,,,,,,
28,2012-05-01,May 2012,SEAR,South-East Asia Region,Thailand,THA,2412.0,,,,,,,,,
29,2012-06-01,Jun 2012,SEAR,South-East Asia Region,Thailand,THA,4372.0,,,,,,,,,
30,2012-07-01,Jul 2012,SEAR,South-East Asia Region,Thailand,THA,5377.0,,,,,,,,,
31,2012-08-01,Aug 2012,SEAR,South-East Asia Region,Thailand,THA,5080.0,,,,,,,,,
32,2012-09-01,Sep 2012,SEAR,South-East Asia Region,Thailand,THA,4645.0,,,,,,,,,
33,2012-10-01,Oct 2012,SEAR,South-East Asia Region,Thailand,THA,4683.0,,,,,,,,,
34,2012-11-01,Nov 2012,SEAR,South-East Asia Region,Thailand,THA,4938.0,,,,,,,,,
35,2012-12-01,Dec 2012,SEAR,South-East Asia Region,Thailand,THA,3575.0,,,,,,,,,
36,2013-01-01,Jan 2013,SEAR,South-East Asia Region,Thailand,THA,3781.0,,,,,,,,,
37,2013-02-01,Feb 2013,SEAR,South-East Asia Region,Thailand,THA,2918.0,,,,,,,,,
38,2013-03-01,Mar 2013,SEAR,South-East Asia Region,Thailand,THA,3783.0,,,,,,,,,
