,WHO region,ITZ,COUNTRY/AREA/TERRITORY,COUNTRY_CODE,ORIGIN_SOURCE,ISO_YEAR,ISO_WEEK,ISO_SDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BVIC,BYAM,BNOTDETERMINED,INF_B,INF_ALL,INF_NEGATIVE,ILI_ACTIVITY
0,WPR,South-East Asia,Malaysia,MYS,NONSENTINEL,2019,44,2019-10-27T16:00:00.000Z,27.0,27,,,,,1.0,1.0,,,,,1.0,26.0,1
1,WPR,South-East Asia,Malaysia,MYS,NONSENTINEL,2020,1,2019-12-29T16:00:00.000Z,45.0,45,,,,,5.0,5.0,,,,,5.0,40.0,1
2,WPR,South-East Asia,Malaysia,MYS,NONSENTINEL,2020,2,2020-01-05T16:00:00.000Z,55.0,55,,,,,11.0,11.0,,,2.0,2.0,13.0,42.0,1
3,WPR,South-East Asia,Malaysia,MYS,NONSENTINEL,2020,3,2020-01-12T16:00:00.000Z,56.0,56,,,,,12.0,12.0,,,1.0,1.0,13.0,43.0,1
4,WPR,South-East Asia,Malaysia,MYS,NONSENTINEL,2020,4,2020-01-19T16:00:00.000Z,66.0,66,,,,,9.0,9.0,,,,,9.0,57.0,1
5,WPR,South-East Asia,Malaysia,MYS,NONSENTINEL,2020,5,2020-01-26T16:00:00.000Z,62.0,62,,,,,3.0,3.0,,,,,3.0,59.0,1
6,WPR,South-East Asia,Malaysia,MYS,NONSENTINEL,2020,6,2020-02-02T16:00:00.000Z,37.0,37,,,,,2.0,2.0,,,,,2.0,35.0,1
7,WPR,South-East Asia,Malaysia,MYS,NONSENTINEL,2020,7,2020-02-09T16:00:00.000Z,40.0,40,,,,,1.0,1.0,,,,,1.0,39.0,1
8,WPR,South-East Asia,Malaysia,MYS,NONSENTINEL,2020,8,2020-02-16T16:00:00.000Z,41.0,41,,,,,,,,,,,,41.0,1
9,WPR,South-East Asia,Malaysia,MYS,NONSENTINEL,2020,9,2020-02-23T16:00:00.000Z,49.0,49,,,,,3.0,3.0,,,,,3.0,46.0,1
10,WPR,South-East Asia,Malaysia,MYS,NONSENTINEL,2020,10,2020-03-01T16:00:00.000Z,43.0,43,,,,,3.0,3.0,,,,,3.0,40.0,1
11,WPR,South-East Asia,Malaysia,MYS,NONSENTINEL,2020,11,2020-03-08T16:00:00.000Z,38.0,38,,,,,,,,,,,,38.0,1
12,WPR,South-East Asia,Malaysia,MYS,NONSENTINEL,2020,12,2020-03-15T16:00:00.000Z,39.0,39,,,,,1.0,1.0,,,,,1.0,38.0,1
13,WPR,South-East Asia,Malaysia,MYS,NONSENTINEL,2020,13,2020-03-22T16:00:00.000Z,24.0,24,,,,,,,,,,,,24.0,1
14,WPR,South-East Asia,Malaysia,MYS,NONSENTINEL,2020,14,2020-03-29T16:00:00.000Z,22.0,22,,,,,1.0,1.0,,,,,1.0,21.0,1
15,WPR,South-East Asia,Malaysia,MYS,NONSENTINEL,2020,15,2020-04-05T16:00:00.000Z,8.0,8,,,,,,,,,,,,8.0,1
16,WPR,South-East Asia,Malaysia,MYS,NONSENTINEL,2020,16,2020-04-12T16:00:00.000Z,4.0,4,,,,,,,,,,,,4.0,1
17,WPR,South-East Asia,Malaysia,MYS,NONSENTINEL,2020,17,2020-04-19T16:00:00.000Z,9.0,9,,,,,,,,,,,,9.0,1
18,WPR,South-East Asia,Malaysia,MYS,NONSENTINEL,2020,18,2020-04-26T16:00:00.000Z,4.0,4,,,,,,,,,,,,4.0,1
19,WPR,South-East Asia,Malaysia,MYS,NONSENTINEL,2020,19,2020-05-03T16:00:00.000Z,4.0,4,,,,,,,,,,,,4.0,1
20,WPR,South-East Asia,Malaysia,MYS,NONSENTINEL,2020,20,2020-05-10T16:00:00.000Z,6.0,6,,,,,,,,,,,,6.0,1
21,WPR,South-East Asia,Malaysia,MYS,NONSENTINEL,2020,21,2020-05-17T16:00:00.000Z,7.0,7,,,,,,,,,,,,7.0,1
22,WPR,South-East Asia,Malaysia,MYS,NONSENTINEL,2020,22,2020-05-24T16:00:00.000Z,7.0,7,,,,,,,,,,,,7.0,1
23,WPR,South-East Asia,Malaysia,MYS,NONSENTINEL,2020,23,2020-05-31T16:00:00.000Z,10.0,10,,,,,,,,,,,,10.0,1
24,WPR,South-East Asia,Malaysia,MYS,NONSENTINEL,2020,24,2020-06-07T16:00:00.000Z,6.0,6,,,,,,,,,,,,6.0,1
25,WPR,South-East Asia,Malaysia,MYS,NONSENTINEL,2020,25,2020-06-14T16:00:00.000Z,15.0,15,,,,,,,,,,,,15.0,1
26,WPR,South-East Asia,Malaysia,MYS,NONSENTINEL,2020,26,2020-06-21T16:00:00.000Z,8.0,8,,,,,,,,,,,,8.0,1
27,WPR,South-East Asia,Malaysia,MYS,NONSENTINEL,2020,27,2020-06-28T16:00:00.000Z,6.0,6,,,,,,,,,,,,6.0,1
28,WPR,South-East Asia,Malaysia,MYS,NONSENTINEL,2020,28,2020-07-05T16:00:00.000Z,9.0,9,,,,,,,,,,,,9.0,1
29,WPR,South-East Asia,Malaysia,MYS,NONSENTINEL,2020,29,2020-07-12T16:00:00.000Z,11.0,11,,,,,,,,,,,,11.0,1
30,WPR,South-East Asia,Malaysia,MYS,NONSENTINEL,2020,30,2020-07-19T16:00:00.000Z,11.0,11,,,,,,,,,,,,11.0,1
31,WPR,South-East Asia,Malaysia,MYS,NONSENTINEL,2020,31,2020-07-26T16:00:00.000Z,11.0,11,,,,,,,,,,,,11.0,1
32,WPR,South-East Asia,Malaysia,MYS,NONSENTINEL,2020,32,2020-08-02T16:00:00.000Z,13.0,13,,,,,,,,,,,,13.0,1
33,WPR,South-East Asia,Malaysia,MYS,NONSENTINEL,2020,33,2020-08-09T16:00:00.000Z,11.0,11,,,,,,,,,,,,11.0,1
34,WPR,South-East Asia,Malaysia,MYS,NONSENTINEL,2020,34,2020-08-16T16:00:00.000Z,15.0,15,,,,,,,,,,,,15.0,1
35,WPR,South-East Asia,Malaysia,MYS,NONSENTINEL,2020,35,2020-08-23T16:00:00.000Z,16.0,16,,,,,,,,,,,,16.0,1
36,WPR,South-East Asia,Malaysia,MYS,NONSENTINEL,2020,36,2020-08-30T16:00:00.000Z,17.0,17,,,,,,,,,,,,17.0,1
37,WPR,South-East Asia,Malaysia,MYS,NONSENTINEL,2020,37,2020-09-06T16:00:00.000Z,14.0,14,,,,,,,,,,,,14.0,1
38,WPR,South-East Asia,Malaysia,MYS,NONSENTINEL,2020,38,2020-09-13T16:00:00.000Z,15.0,15,,,,,,,,,,,,15.0,1
39,WPR,South-East Asia,Malaysia,MYS,NONSENTINEL,2020,39,2020-09-20T16:00:00.000Z,18.0,18,,,,,,,,,,,,18.0,1
